area,age,gender,number
Kilifi,72,total,2180
Kilifi,73,male,950
Kilifi,73,female,1099
Kilifi,73,total,2049
Kilifi,74,male,1062
Kilifi,74,female,1378
Kilifi,74,total,2440
Kilifi,75,male,1102
Kilifi,75,female,1631
Kilifi,75,total,2733
Kilifi,76,male,639
Kilifi,76,female,754
Kilifi,76,total,1393
Kilifi,77,male,737
Kilifi,77,female,821
Kilifi,77,total,1558
Kilifi,78,male,478
Kilifi,78,female,451
Kilifi,78,total,929
Kilifi,79,male,770
Kilifi,79,female,1343
Kilifi,79,total,2113
Kilifi,80,male,693
Kilifi,80,female,1414
Kilifi,80,total,2107
Kilifi,81,male,377
Kilifi,81,female,604
Kilifi,81,total,981
Kilifi,82,male,291
Kilifi,82,female,374
Kilifi,82,total,665
Kilifi,83,male,317
Kilifi,83,female,450
Kilifi,83,total,767
Kilifi,84,male,321
Kilifi,84,female,495
Kilifi,84,total,816
Kilifi,85,male,291
Kilifi,85,female,528
Kilifi,85,total,819
Kilifi,86,male,147
Kilifi,86,female,191
Kilifi,86,total,338
Kilifi,87,male,245
Kilifi,87,female,403
Kilifi,87,total,648
Kilifi,88,male,116
Kilifi,88,female,139
Kilifi,88,total,255
Kilifi,89,male,325
Kilifi,89,female,617
Kilifi,89,total,942
Kilifi,90,male,149
Kilifi,90,female,338
Kilifi,90,total,487
Kilifi,91,male,100
Kilifi,91,female,148
Kilifi,91,total,248
Kilifi,92,male,49
Kilifi,92,female,91
Kilifi,92,total,140
Kilifi,93,male,50
Kilifi,93,female,86
Kilifi,93,total,136
Kilifi,94,male,58
Kilifi,94,female,89
Kilifi,94,total,147
Kilifi,95,male,68
Kilifi,95,female,139
Kilifi,95,total,207
Kilifi,96,male,32
Kilifi,96,female,49
Kilifi,96,total,81
Kilifi,97,male,44
Kilifi,97,female,39
Kilifi,97,total,83
Kilifi,98,male,35
Kilifi,98,female,49
Kilifi,98,total,84
Kilifi,99,male,70
Kilifi,99,female,142
Kilifi,99,total,212
Kilifi,100+,male,118
Kilifi,100+,female,245
Kilifi,100+,total,363
Kilifi,Not Stated,male,6
Kilifi,Not Stated,female,11
Kilifi,Not Stated,total,17
Tana River,0,male,4867
Tana River,0,female,4775
Tana River,0,total,9642
Tana River,1,male,4934
Tana River,1,female,4600
Tana River,1,total,9534
Tana River,2,male,5639
Tana River,2,female,5317
Tana River,2,total,10956
Tana River,3,male,5663
Tana River,3,female,5573
Tana River,3,total,11236
Tana River,4,male,6069
Tana River,4,female,5741
Tana River,4,total,11810
Tana River,5,male,5797
Tana River,5,female,5524
Tana River,5,total,11321
Tana River,6,male,5768
Tana River,6,female,5646
Tana River,6,total,11414
Tana River,7,male,5531
Tana River,7,female,5026
Tana River,7,total,10557
Tana River,8,male,5508
Tana River,8,female,5261
Tana River,8,total,10769
Tana River,9,male,4487
Tana River,9,female,4421
Tana River,9,total,8908
Tana River,10,male,5919
Tana River,10,female,5787
Tana River,10,total,11706
Tana River,11,male,3965
Tana River,11,female,3890
Tana River,11,total,7855
Tana River,12,male,5339
Tana River,12,female,4949
Tana River,12,total,10288
Tana River,13,male,4358
Tana River,13,female,4357
Tana River,13,total,8715
Tana River,14,male,4138
Tana River,14,female,3988
Tana River,14,total,8126
Tana River,15,male,4265
